Chart: 11412, Current Edition: 47, Print Date: Oct. /2015, Tampa Bay and St. Joseph Sound
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
11412	Change	Tampa Bay Cut G Channel Range Front Light (Secondary Light)	Q R 4M	N 27 47' 34.835"	W 082 35' 13.705"	27.79301	-82.58714	LNM 16/17, 7th Dist	175	11412_1	4/27/2017
11412	Change	Tampa Bay Cut J Outbound Range Front Passing Light	Fl 4s 5M	N 27 45' 54.313"	W 082 34' 20.929"	27.76509	-82.57248	LNM 16/17, 7th Dist	175	11412_1	4/27/2017
11412	Change	Tampa Bay Cut J Outbound Range Rear Passing Light A	Fl 4s 5M "A"	N 27 45' 02.998"	W 082 34' 19.642"	27.75083	-82.57212	LNM 16/17, 7th Dist	175	11412_1	4/27/2017
11412	Add	Tampa Bay Cut J Outbound Range Rear Passing Light B	Fl 4s 5M "B"	N 27 45' 02.998"	W 082 34' 19.642"	27.75083	-82.57212	LNM 16/17, 7th Dist	175	11412_1	4/27/2017
11412	Add	Visible Wreck	PA	N 27 46' 36.960"	W 082 37' 31.500"	27.77693	-82.62542	LNM 16/17, 7th Dist	175	11412_1	4/27/2017
11412	Change	Tampa Bay Cut J Channel Outbound Range Front Light	Q 10ft Q 5M	N 27 45' 54.313"	W 082 34' 20.929"	27.76509	-82.57248	LNM 15/17, 7th Dist	175	11412_1	4/27/2017
11412	Change	Mullet Key Channel Range Front Light	Q 20ft	N 27 36' 50.999"	W 082 39' 56.131"	27.61417	-82.66559	LNM 13/17, 7th Dist	175	11412_1	4/13/2017
11412	Change	Mullet Key Channel Range Rear Light	Iso 6s 78ft	N 27 36' 57.106"	W 082 39' 13.365"	27.61586	-82.65371	LNM 13/17, 7th Dist	175	11412_1	4/13/2017
11412	Add	Mullet Key Channel Range Front Light Passing Light	Q 20ft 4M	N 27 36' 50.999"	W 082 39' 56.131"	27.61417	-82.66559	LNM 13/17, 7th Dist	175	11412_1	4/13/2017
11412	Add	Mullet Key Channel Range Rear Light Passing Light	Q 40ft 4M	N 27 36' 57.106"	W 082 39' 13.365"	27.61586	-82.65371	LNM 13/17, 7th Dist	175	11412_1	4/13/2017
11412	Relocate	Johns Pass Channel Buoy 3	G C "3"	N 27 46' 38.923"	W 082 47' 17.591"	27.77748	-82.78822	LNM 06/17, 7th Dist	175	11412_1	2/23/2017
11412	Relocate	Sunshine Skyway Channel Daybeacon 11	G "11"	N 27 39' 17.295"	W 082 40' 56.388"	27.6548	-82.68233	LNM 52/16, 7th Dist	175	11412_1	12/29/2016
11412	Relocate	Anclote Anchorage South Entrance Light 3	Fl G 4s 16ft 5M "3"	N 28 08' 18.493"	W 082 50' 52.622"	28.13847	-82.84795	LNM 44/16, 7th Dist	175	11412_1	11/3/2016
11412	Relocate	Tampa Bay Cut J Channel Outbound Range Rear Light	Iso 6s 64ft, Fl 4s 23ft 5M	N 27 45' 03.000"	W 082 34' 19.665"	27.75083	-82.57213	LNM 27/16, 7th Dist	175	11412_1	7/14/2016
11412	Change	Tampa Bay Cut J Channel Outbound Range Rear Light	Iso 6s 50ft, Fl 4s	N 27 45' 03.000"	W 082 34' 19.665"	27.75083	-82.57213	LNM 27/16, 7th Dist	175	11412_1	7/14/2016
11412	Delete	Anna Maria One Mile Fish Haven B	Y C "B" Priv	N 27 29' 30.000"	W 082 43' 48.000"	27.49167	-82.73	LNM 20/16, 7th Dist	175	11412_1	5/26/2016
11412	Delete	Anna Maria One Mile Fish Haven A	Y C "A" Priv	N 27 29' 17.000"	W 082 43' 45.000"	27.48806	-82.72916	LNM 20/16, 7th Dist	175	11412_1	5/26/2016
11412	Add	Passage Key Inlet Chartlet - revised hydrography, shoreline	Passage Key Inlet Chartlet - revised hydrography, shoreline	N 27 32' 00.000"	W 082 45' 00.000"	27.53333	-82.75	LNM 21/16, 7th Dist	175	11412_1	5/19/2016
11412	Change	Depth Legend - St. Petersburg Harbor to:	21 1/2 FT	N 27 45' 36.300"	W 082 37' 44.300"	27.76008	-82.62897	LNM 21/16, 7th Dist	175	11412_1	5/19/2016
11412	Change	Depth Legend - St. Petersburg Harbor to:	17 1/2 FT AUG 2015	N 27 41' 16.000"	W 082 36' 32.600"	27.68778	-82.60905	LNM 21/16, 7th Dist	175	11412_1	5/19/2016
11412	Change	Depth Legend - St. Petersburg Harbor to:	19 FT 2015	N 27 45' 33.200"	W 082 37' 21.800"	27.75922	-82.62272	LNM 21/16, 7th Dist	175	11412_1	5/19/2016
11412	Change	Depth Legend - St. Petersburg Harbor to:	10 1/2 FT	N 27 45' 33.400"	W 082 38' 00.000"	27.75928	-82.63333	LNM 21/16, 7th Dist	175	11412_1	5/19/2016
11412	Change	Depth Legend - St. Petersburg Harbor to:	20 FT AUG 2015	N 27 45' 24.600"	W 082 36' 42.000"	27.75683	-82.61166	LNM 21/16, 7th Dist	175	11412_1	5/19/2016
11412	Change	St Petersburg Channel Junction Light S	Fl (2+1) G 6s 16ft 4M "S"	N 27 45' 32.505"	W 082 36' 41.251"	27.75903	-82.61146	LNM 05/16, 7th Dist	175	11412_1	2/11/2016
11412	Add	Sunshine Skyway Bridge V-AIS	V-AIS	N 27 37' 13.346"	W 082 39' 20.102"	27.62037	-82.65559	LNM 03/16, 7th Dist	175	11412_1	1/28/2016
11412	Change	Tampa Bay Cut E Channel Inbound Range Front Light Passing Light	Q 17ft 4M	N 27 45' 47.889"	W 082 31' 14.092"	27.7633	-82.52058	LNM 02/16, 7th Dist	175	11412_1	1/21/2016
11412	Relocate	Manatee River Light 7	Q G 16ft 4M "7"	N 27 31' 50.008"	W 082 39' 02.595"	27.53056	-82.65072	LNM 50/15, 7th Dist	175	11412_1	12/24/2015
11412	Add	Manatee River Daybeacon 5	G "5"	N 27 31' 56.640"	W 082 39' 39.920"	27.5324	-82.66109	LNM 50/15, 7th Dist	175	11412_1	12/24/2015
11412	Change	Obstruction	Obstn PA	N 27 47' 23.160"	W 082 36' 41.160"	27.78977	-82.61143	LNM 42/15, 7th Dist	175	11412_1	10/29/2015
11412	Add	Pile	Pile PA	N 27 47' 23.160"	W 082 36' 41.160"	27.78977	-82.61143	LNM 41/15, 7th Dist	175	11412_1	10/22/2015
